Temperature (C),Humidity,rain,hour
7.644444444444442,0.93,Rain,3
6.622222222222224,0.93,Rain,4
6.683333333333334,0.93,Rain,5
6.0888888888888895,0.93,No Rain,6
6.066666666666667,0.93,No Rain,7
6.144444444444446,0.93,No Rain,8
7.133333333333336,0.8,Rain,9
7.205555555555555,0.86,No Rain,10
7.566666666666666,0.84,No Rain,11
8.900000000000002,0.77,No Rain,12
9.961111111111112,0.71,Rain,13
9.888888888888888,0.71,No Rain,14
11.066666666666668,0.71,No Rain,15
10.116666666666667,0.76,No Rain,16
11.038888888888888,0.66,No Rain,17
10.65,0.7,Rain,18
10.050000000000002,0.7,Rain,19
9.9,0.66,No Rain,20
8.794444444444444,0.71,Rain,21
7.827777777777779,0.72,Rain,22
7.855555555555556,0.72,No Rain,23
7.316666666666667,0.75,No Rain,0
7.244444444444444,0.75,Rain,1
5.438888888888888,0.88,No Rain,2
7.200000000000001,0.76,No Rain,3
6.688888888888888,0.7,Rain,4
6.211111111111111,0.73,Rain,5
6.111111111111111,0.76,No Rain,6
6.111111111111111,0.76,Rain,7
6.172222222222222,0.76,No Rain,8
7.222222222222222,0.71,No Rain,9
7.288888888888888,0.73,Rain,10
7.405555555555555,0.72,Rain,11
7.96111111111111,0.7,Rain,12
8.033333333333335,0.7,No Rain,13
9.07777777777778,0.65,No Rain,14
9.05,0.62,Rain,15
9.05,0.65,Rain,16
9.183333333333334,0.65,No Rain,17
9.07222222222222,0.7,No Rain,18
7.983333333333332,0.75,No Rain,19
8.072222222222223,0.75,Rain,20
7.894444444444446,0.82,Rain,21
7.311111111111109,0.83,Rain,22
7.33888888888889,0.84,Rain,23
6.622222222222224,0.85,Rain,0
6.066666666666667,0.88,Rain,1
8.338888888888887,0.88,Rain,2
5.183333333333333,0.91,No Rain,3
3.722222222222224,0.94,Rain,4
4.855555555555557,0.93,Rain,5
5.211111111111112,0.92,Rain,6
6.255555555555555,0.92,No Rain,7
7.794444444444445,0.87,Rain,8
10.050000000000002,0.76,Rain,9
12.2,0.66,Rain,10
12.7,0.63,No Rain,11
13.933333333333332,0.58,No Rain,12
15.094444444444449,0.59,No Rain,13
15.150000000000002,0.5,No Rain,14
16.177777777777777,0.44,No Rain,15
16.25,0.55,Rain,16
16.29444444444444,0.5,Rain,17
16.099999999999998,0.56,Rain,18
12.955555555555556,0.68,Rain,19
13.85,0.64,No Rain,20
12.77777777777778,0.69,No Rain,21
12.15,0.72,Rain,22
10.677777777777775,0.81,Rain,23
10.444444444444445,0.83,No Rain,0
9.822222222222225,0.8,No Rain,1
11.02777777777778,0.74,Rain,2
7.138888888888889,0.93,Rain,3
7.622222222222222,0.89,No Rain,4
7.627777777777775,0.86,No Rain,5
7.044444444444444,0.86,Rain,6
8.599999999999998,0.84,Rain,7
9.65,0.84,No Rain,8
12.105555555555554,0.72,No Rain,9
12.77777777777778,0.71,Rain,10
13.81111111111111,0.65,No Rain,11
16.016666666666666,0.48,No Rain,12
17.127777777777776,0.47,No Rain,13
17.144444444444446,0.43,Rain,14
17.77777777777778,0.4,Rain,15
17.77777777777778,0.37,No Rain,16
17.805555555555557,0.43,No Rain,17
16.15555555555555,0.52,Rain,18
14.05,0.63,No Rain,19
13.08888888888889,0.67,Rain,20
12.288888888888888,0.72,No Rain,21
12.77777777777778,0.66,No Rain,22
12.727777777777776,0.67,No Rain,23
12.266666666666666,0.69,No Rain,0
11.71111111111111,0.71,No Rain,1
10.82777777777778,0.86,No Rain,2
12.2,0.59,No Rain,3
12.2,0.6,Rain,4
11.688888888888888,0.68,No Rain,5
11.205555555555556,0.77,No Rain,6
11.133333333333333,0.77,No Rain,7
11.43888888888889,0.77,Rain,8
13.033333333333337,0.81,No Rain,9
17.244444444444444,0.62,No Rain,10
17.73888888888889,0.53,No Rain,11
17.84444444444445,0.56,No Rain,12
18.86111111111111,0.56,Rain,13
18.666666666666664,0.56,No Rain,14
17.82222222222222,0.56,Rain,15
17.800000000000004,0.59,Rain,16
17.349999999999998,0.57,No Rain,17
16.06666666666667,0.67,No Rain,18
14.933333333333334,0.73,Rain,19
13.922222222222224,0.78,Rain,20
12.755555555555556,0.84,No Rain,21
12.755555555555556,0.84,Rain,22
12.372222222222224,0.86,No Rain,23
11.183333333333334,0.93,No Rain,0
11.666666666666666,0.9,No Rain,1
8.977777777777776,0.95,Rain,2
10.577777777777776,0.93,Rain,3
10.533333333333337,0.89,No Rain,4
10.58888888888889,0.87,No Rain,5
9.983333333333333,0.89,Rain,6
11.022222222222224,0.86,No Rain,7
13.538888888888888,0.75,No Rain,8
13.88888888888889,0.68,Rain,9
15.0,0.67,No Rain,10
17.183333333333334,0.57,Rain,11
16.2,0.62,Rain,12
17.75,0.56,Rain,13
18.40555555555555,0.54,No Rain,14
17.82222222222222,0.59,Rain,15
17.31111111111111,0.57,Rain,16
17.505555555555553,0.55,Rain,17
17.266666666666666,0.54,Rain,18
15.13888888888889,0.61,No Rain,19
13.25,0.69,Rain,20
12.294444444444444,0.72,Rain,21
10.699999999999998,0.79,Rain,22
9.855555555555558,0.85,No Rain,23
9.522222222222222,0.88,No Rain,0
8.405555555555557,0.92,No Rain,1
13.011111111111113,0.82,No Rain,2
7.733333333333334,0.96,No Rain,3
6.138888888888888,0.96,No Rain,4
6.472222222222221,0.95,Rain,5
6.627777777777777,0.96,No Rain,6
8.68888888888889,0.93,Rain,7
11.994444444444447,0.81,Rain,8
13.766666666666667,0.78,Rain,9
15.088888888888889,0.77,No Rain,10
16.455555555555556,0.68,No Rain,11
17.31111111111111,0.62,Rain,12
17.872222222222224,0.64,No Rain,13
19.038888888888884,0.47,No Rain,14
18.97777777777777,0.51,Rain,15
19.00555555555555,0.55,Rain,16
19.01111111111111,0.53,No Rain,17
17.866666666666664,0.64,Rain,18
17.266666666666666,0.62,No Rain,19
16.188888888888886,0.61,No Rain,20
14.883333333333333,0.72,Rain,21
14.327777777777776,0.75,No Rain,22
14.511111111111113,0.75,Rain,23
14.372222222222222,0.75,No Rain,0
14.877777777777778,0.72,No Rain,1
10.405555555555551,0.92,Rain,2
12.82222222222222,0.83,No Rain,3
12.8,0.85,Rain,4
12.82777777777778,0.86,No Rain,5
12.266666666666666,0.85,Rain,6
12.266666666666666,0.85,No Rain,7
12.183333333333334,0.82,Rain,8
12.17222222222222,0.8,Rain,9
12.711111111111112,0.83,Rain,10
15.605555555555558,0.78,Rain,11
16.022222222222226,0.78,No Rain,12
17.200000000000003,0.67,Rain,13
17.21666666666667,0.71,No Rain,14
17.82777777777778,0.69,No Rain,15
17.82777777777778,0.69,No Rain,16
17.733333333333334,0.69,No Rain,17
16.272222222222222,0.71,No Rain,18
13.166666666666668,0.93,No Rain,19
13.255555555555556,0.93,No Rain,20
13.011111111111113,0.93,Rain,21
12.455555555555556,0.91,Rain,22
12.488888888888887,0.9,No Rain,23
9.555555555555555,0.8,No Rain,0
10.622222222222222,0.79,No Rain,1
8.722222222222223,0.93,Rain,2
10.533333333333337,0.77,Rain,3
9.444444444444445,0.83,No Rain,4
9.888888888888888,0.83,Rain,5
10.366666666666664,0.78,Rain,6
8.88888888888889,0.89,Rain,7
9.97777777777778,0.84,Rain,8
12.2,0.73,Rain,9
13.961111111111112,0.67,Rain,10
14.944444444444445,0.67,No Rain,11
16.183333333333334,0.71,Rain,12
16.366666666666667,0.61,Rain,13
17.372222222222224,0.57,No Rain,14
17.672222222222224,0.51,No Rain,15
17.72222222222222,0.53,Rain,16
16.238888888888887,0.61,Rain,17
14.066666666666666,0.71,Rain,18
13.955555555555556,0.76,No Rain,19
12.288888888888888,0.8,Rain,20
10.02222222222222,0.86,Rain,21
9.377777777777778,0.86,Rain,22
9.416666666666668,0.9,Rain,23
11.827777777777776,0.92,Rain,0
10.761111111111113,0.91,Rain,1
12.155555555555557,0.95,No Rain,2
9.67222222222222,0.94,No Rain,3
8.15,0.94,No Rain,4
10.2,0.95,No Rain,5
10.116666666666667,0.99,No Rain,6
10.16111111111111,0.99,No Rain,7
11.244444444444447,0.98,No Rain,8
12.244444444444444,0.99,Rain,9
13.91111111111111,0.92,No Rain,10
15.616666666666667,0.82,No Rain,11
15.072222222222225,0.86,Rain,12
15.072222222222225,0.82,No Rain,13
14.266666666666667,0.87,Rain,14
16.016666666666666,0.81,Rain,15
15.02777777777778,0.86,No Rain,16
13.944444444444445,0.89,Rain,17
12.916666666666666,0.95,Rain,18
12.894444444444446,0.95,Rain,19
12.4,0.98,No Rain,20
12.266666666666666,0.99,No Rain,21
12.22222222222222,0.96,Rain,22
11.25,0.96,Rain,23
11.52777777777778,0.96,Rain,0
11.538888888888891,0.96,Rain,1
9.43888888888889,0.96,Rain,2
11.43888888888889,0.96,Rain,3
11.394444444444442,0.96,No Rain,4
11.52777777777778,0.96,Rain,5
11.949999999999998,0.93,Rain,6
11.97222222222222,1.0,Rain,7
12.633333333333336,0.96,No Rain,8
12.755555555555556,0.96,No Rain,9
13.844444444444443,0.9,No Rain,10
13.172222222222224,0.94,Rain,11
15.066666666666666,0.86,Rain,12
17.244444444444444,0.75,Rain,13
16.316666666666666,0.76,No Rain,14
17.383333333333333,0.74,No Rain,15
15.272222222222224,0.76,No Rain,16
17.45555555555556,0.72,Rain,17
16.22222222222222,0.77,Rain,18
15.083333333333334,0.82,Rain,19
13.994444444444444,0.88,Rain,20
12.17222222222222,0.92,Rain,21
11.08888888888889,0.95,No Rain,22
11.094444444444443,0.95,Rain,23
9.883333333333333,0.96,No Rain,0
9.355555555555558,0.96,No Rain,1
9.86111111111111,0.96,No Rain,2
8.272222222222222,0.99,No Rain,3
8.866666666666667,0.96,Rain,4
8.816666666666666,0.96,Rain,5
7.155555555555556,1.0,No Rain,6
8.850000000000001,0.99,No Rain,7
11.177777777777775,0.93,Rain,8
12.388888888888888,0.98,Rain,9
14.144444444444446,0.88,No Rain,10
17.1,0.72,Rain,11
18.93888888888889,0.64,Rain,12
17.916666666666668,0.68,Rain,13
19.98333333333333,0.53,No Rain,14
20.07222222222222,0.62,Rain,15
20.07222222222222,0.56,Rain,16
20.083333333333336,0.58,Rain,17
19.08888888888889,0.63,No Rain,18
17.45,0.62,No Rain,19
15.56666666666667,0.74,Rain,20
12.494444444444447,0.91,No Rain,21
12.244444444444444,0.89,No Rain,22
11.416666666666664,0.92,No Rain,23
10.555555555555555,0.95,No Rain,0
10.466666666666669,0.93,Rain,1
10.250000000000002,0.95,No Rain,2
9.355555555555558,0.96,No Rain,3
8.311111111111112,0.96,Rain,4
8.81111111111111,0.96,No Rain,5
8.733333333333333,0.93,No Rain,6
11.93333333333333,0.93,No Rain,7
14.516666666666667,0.84,Rain,8
18.73333333333333,0.68,No Rain,9
20.02777777777778,0.6,Rain,10
21.03888888888889,0.55,Rain,11
20.738888888888887,0.46,No Rain,12
22.31666666666667,0.48,Rain,13
22.11111111111111,0.5,Rain,14
22.73333333333333,0.38,Rain,15
22.77777777777778,0.37,No Rain,16
21.216666666666665,0.41,Rain,17
20.18333333333333,0.45,Rain,18
18.011111111111113,0.68,No Rain,19
17.422222222222224,0.65,No Rain,20
13.961111111111112,0.82,No Rain,21
13.28888888888889,0.89,Rain,22
12.322222222222225,0.89,Rain,23
11.116666666666664,0.95,No Rain,0
10.533333333333337,0.95,Rain,1
12.383333333333333,0.8,No Rain,2
9.86111111111111,0.96,Rain,3
8.872222222222222,0.95,No Rain,4
8.672222222222222,0.94,Rain,5
7.688888888888891,1.0,Rain,6
10.911111111111111,0.99,No Rain,7
14.83888888888889,0.82,No Rain,8
18.8,0.65,Rain,9
21.094444444444445,0.49,No Rain,10
22.027777777777786,0.49,No Rain,11
22.82777777777778,0.47,No Rain,12
22.916666666666668,0.37,Rain,13
23.916666666666668,0.37,Rain,14
23.911111111111115,0.4,No Rain,15
23.93333333333333,0.37,Rain,16
23.916666666666668,0.32,Rain,17
22.82222222222222,0.44,Rain,18
21.22777777777777,0.48,No Rain,19
19.07777777777778,0.51,Rain,20
17.061111111111114,0.63,No Rain,21
14.905555555555551,0.72,No Rain,22
13.083333333333332,0.87,Rain,23
12.711111111111112,0.89,Rain,0
12.127777777777776,0.89,No Rain,1
11.81111111111111,0.84,Rain,2
12.016666666666667,0.8,Rain,3
12.044444444444444,0.8,Rain,4
10.627777777777778,0.86,No Rain,5
9.911111111111111,0.99,No Rain,6
12.555555555555555,0.9,Rain,7
15.005555555555553,0.78,Rain,8
17.33888888888889,0.74,No Rain,9
19.1,0.67,Rain,10
21.261111111111106,0.57,Rain,11
22.41111111111111,0.54,Rain,12
22.938888888888894,0.5,No Rain,13
23.927777777777774,0.47,Rain,14
23.96111111111111,0.47,Rain,15
23.96111111111111,0.38,No Rain,16
23.111111111111107,0.42,No Rain,17
22.82222222222222,0.44,No Rain,18
21.11111111111111,0.47,No Rain,19
18.188888888888886,0.58,No Rain,20
16.016666666666666,0.72,Rain,21
15.466666666666669,0.72,Rain,22
14.605555555555554,0.76,No Rain,23
13.311111111111112,0.82,No Rain,0
12.733333333333334,0.83,No Rain,1
13.788888888888888,0.77,No Rain,2
10.577777777777776,0.88,Rain,3
10.483333333333333,0.92,No Rain,4
10.288888888888891,0.91,Rain,5
9.972222222222223,0.92,No Rain,6
13.638888888888888,0.9,No Rain,7
16.73888888888889,0.74,Rain,8
18.83888888888889,0.65,Rain,9
21.16111111111111,0.59,No Rain,10
22.58888888888889,0.53,Rain,11
22.89444444444444,0.48,Rain,12
24.00555555555555,0.47,No Rain,13
24.00555555555555,0.35,Rain,14
23.97777777777777,0.44,No Rain,15
25.04444444444444,0.32,No Rain,16
24.07777777777778,0.35,No Rain,17
22.38333333333334,0.45,Rain,18
21.20555555555556,0.52,Rain,19
18.26111111111112,0.62,No Rain,20
17.200000000000003,0.67,Rain,21
15.994444444444444,0.75,No Rain,22
15.961111111111109,0.79,No Rain,23
15.444444444444445,0.72,Rain,0
14.372222222222222,0.75,No Rain,1
13.605555555555558,0.9,Rain,2
12.82222222222222,0.82,Rain,3
12.750000000000002,0.83,Rain,4
11.416666666666664,0.92,Rain,5
12.333333333333336,0.86,No Rain,6
14.905555555555551,0.78,No Rain,7
15.894444444444446,0.74,No Rain,8
17.227777777777774,0.72,No Rain,9
17.82777777777778,0.73,Rain,10
17.916666666666668,0.72,No Rain,11
19.05555555555556,0.67,No Rain,12
20.14444444444445,0.67,No Rain,13
20.26111111111111,0.62,No Rain,14
21.20555555555556,0.62,No Rain,15
21.25555555555556,0.67,Rain,16
20.23333333333333,0.66,No Rain,17
19.07777777777778,0.71,Rain,18
17.944444444444443,0.77,No Rain,19
15.494444444444444,0.82,No Rain,20
14.144444444444446,0.89,No Rain,21
14.538888888888891,0.86,No Rain,22
14.138888888888893,0.86,Rain,23
13.4,0.9,Rain,0
13.42777777777778,0.9,Rain,1
11.588888888888889,0.74,Rain,2
14.422222222222224,0.83,Rain,3
13.916666666666664,0.86,No Rain,4
13.4,0.9,No Rain,5
13.866666666666667,0.9,Rain,6
14.905555555555551,0.84,Rain,7
15.933333333333334,0.74,Rain,8
17.127777777777776,0.65,Rain,9
18.75,0.58,No Rain,10
18.96111111111111,0.6,Rain,11
19.994444444444444,0.54,Rain,12
21.11111111111111,0.5,No Rain,13
21.094444444444445,0.46,Rain,14
21.17777777777778,0.43,No Rain,15
21.22777777777777,0.41,Rain,16
20.100000000000005,0.45,No Rain,17
19.02777777777778,0.51,No Rain,18
17.849999999999998,0.59,No Rain,19
16.261111111111113,0.66,Rain,20
14.983333333333333,0.72,Rain,21
14.466666666666663,0.65,No Rain,22
13.944444444444445,0.6,No Rain,23
12.316666666666668,0.65,No Rain,0
11.761111111111113,0.66,No Rain,1
10.82777777777778,0.62,No Rain,2
10.13888888888889,0.73,Rain,3
10.627777777777778,0.71,No Rain,4
10.605555555555558,0.69,Rain,5
10.072222222222225,0.71,No Rain,6
11.161111111111111,0.71,No Rain,7
12.888888888888893,0.67,No Rain,8
15.050000000000002,0.6,Rain,9
15.16111111111111,0.59,Rain,10
16.272222222222222,0.56,No Rain,11
17.800000000000004,0.46,Rain,12
17.938888888888894,0.46,Rain,13
18.855555555555554,0.41,Rain,14
17.988888888888887,0.43,Rain,15
17.96111111111111,0.51,No Rain,16
17.36111111111111,0.47,No Rain,17
16.25,0.52,Rain,18
14.122222222222224,0.47,No Rain,19
12.95,0.55,No Rain,20
12.244444444444444,0.52,Rain,21
11.688888888888888,0.57,No Rain,22
11.155555555555557,0.59,No Rain,23
9.216666666666669,0.9,No Rain,0
8.683333333333334,0.9,No Rain,1
9.188888888888888,0.77,No Rain,2
8.594444444444443,0.93,No Rain,3
7.505555555555554,0.93,Rain,4
6.216666666666665,0.95,Rain,5
5.855555555555555,0.93,Rain,6
5.933333333333334,1.0,Rain,7
10.405555555555551,1.0,Rain,8
12.544444444444444,0.78,No Rain,9
13.861111111111112,0.77,No Rain,10
15.977777777777776,0.63,Rain,11
17.266666666666666,0.57,No Rain,12
17.84444444444445,0.5,No Rain,13
16.427777777777777,0.54,Rain,14
17.77777777777778,0.46,Rain,15
17.84444444444445,0.45,No Rain,16
17.299999999999997,0.5,No Rain,17
15.18333333333333,0.65,No Rain,18
13.005555555555553,0.7,Rain,19
12.694444444444445,0.74,No Rain,20
12.194444444444446,0.72,Rain,21
12.083333333333334,0.71,Rain,22
10.616666666666667,0.74,No Rain,23
11.6,0.57,Rain,0
11.022222222222224,0.6,No Rain,1
11.88888888888889,0.6,No Rain,2
10.416666666666666,0.64,No Rain,3
10.3,0.67,No Rain,4
9.483333333333333,0.72,No Rain,5
9.772222222222224,0.68,Rain,6
10.933333333333334,0.67,No Rain,7
11.655555555555551,0.66,No Rain,8
13.93888888888889,0.55,Rain,9
15.02777777777778,0.54,No Rain,10
16.038888888888888,0.47,Rain,11
15.227777777777776,0.51,Rain,12
16.20555555555556,0.44,Rain,13
17.299999999999997,0.43,Rain,14
17.77777777777778,0.43,Rain,15
17.800000000000004,0.38,No Rain,16
17.26111111111111,0.39,Rain,17
17.200000000000003,0.38,Rain,18
15.02222222222222,0.45,No Rain,19
13.927777777777775,0.47,Rain,20
12.366666666666664,0.57,No Rain,21
12.294444444444444,0.59,Rain,22
12.788888888888891,0.56,Rain,23
9.533333333333331,0.76,Rain,0
9.972222222222223,0.71,No Rain,1
4.911111111111113,0.91,No Rain,2
7.916666666666667,0.78,No Rain,3
7.383333333333332,0.82,No Rain,4
7.972222222222222,0.82,No Rain,5
8.816666666666666,0.84,Rain,6
8.794444444444444,0.84,Rain,7
7.88888888888889,0.89,No Rain,8
7.799999999999999,0.96,No Rain,9
7.822222222222221,0.95,No Rain,10
7.944444444444443,0.95,Rain,11
8.077777777777776,0.94,No Rain,12
10.227777777777776,0.81,No Rain,13
11.361111111111112,0.74,No Rain,14
12.449999999999998,0.7,Rain,15
12.916666666666666,0.67,No Rain,16
12.550000000000002,0.62,No Rain,17
12.383333333333333,0.69,No Rain,18
10.227777777777776,0.75,Rain,19
9.227777777777778,0.78,Rain,20
7.827777777777779,0.87,No Rain,21
6.67777777777778,0.91,No Rain,22
6.122222222222224,0.91,No Rain,23
5.327777777777779,0.95,Rain,0
4.355555555555558,0.95,No Rain,1
9.27222222222222,0.89,Rain,2
4.261111111111112,0.92,No Rain,3
3.2166666666666663,0.92,No Rain,4
3.905555555555556,0.92,No Rain,5
2.7111111111111126,0.96,Rain,6
3.816666666666665,1.0,No Rain,7
6.883333333333334,0.93,Rain,8
8.93888888888889,0.88,No Rain,9
11.205555555555556,0.79,No Rain,10
12.85,0.7,Rain,11
13.961111111111112,0.63,Rain,12
14.97777777777778,0.51,Rain,13
14.02777777777778,0.57,Rain,14
15.02222222222222,0.51,No Rain,15
15.044444444444444,0.54,No Rain,16
15.088888888888889,0.5,No Rain,17
14.949999999999998,0.51,No Rain,18
13.816666666666666,0.59,Rain,19
12.916666666666666,0.64,Rain,20
13.838888888888889,0.59,No Rain,21
12.755555555555556,0.69,No Rain,22
12.650000000000002,0.74,Rain,23
11.688888888888888,0.8,No Rain,0
10.627777777777778,0.88,No Rain,1
5.666666666666668,0.91,Rain,2
10.050000000000002,0.92,No Rain,3
9.97777777777778,0.93,No Rain,4
9.77777777777778,0.95,No Rain,5
8.661111111111113,0.99,Rain,6
7.550000000000002,0.95,No Rain,7
7.233333333333336,0.93,Rain,8
6.044444444444446,0.92,Rain,9
6.094444444444444,0.85,No Rain,10
6.116666666666665,0.82,Rain,11
6.066666666666667,0.86,No Rain,12
6.038888888888888,0.93,Rain,13
6.888888888888888,0.93,Rain,14
7.061111111111112,0.86,Rain,15
6.038888888888888,0.93,No Rain,16
6.072222222222222,0.93,Rain,17
5.044444444444443,0.93,Rain,18
5.022222222222222,0.92,No Rain,19
5.033333333333335,0.93,Rain,20
5.0,0.93,No Rain,21
4.977777777777778,0.93,Rain,22
4.933333333333335,0.87,Rain,23
4.466666666666666,0.92,No Rain,0
4.444444444444445,0.92,Rain,1
4.01111111111111,0.83,Rain,2
4.905555555555555,0.86,Rain,3
4.883333333333333,0.83,Rain,4
4.388888888888888,0.89,Rain,5
4.8388888888888895,0.86,Rain,6
4.811111111111109,0.83,No Rain,7
4.944444444444444,0.84,No Rain,8
7.200000000000001,0.65,No Rain,9
7.777777777777778,0.67,No Rain,10
8.72777777777778,0.64,Rain,11
8.983333333333334,0.57,No Rain,12
10.0,0.5,Rain,13
10.094444444444443,0.55,Rain,14
11.06111111111111,0.46,No Rain,15
10.13888888888889,0.42,Rain,16
11.011111111111113,0.42,No Rain,17
10.116666666666667,0.49,Rain,18
7.916666666666667,0.57,No Rain,19
7.333333333333335,0.63,No Rain,20
5.050000000000002,0.75,Rain,21
3.933333333333332,0.76,Rain,22
4.094444444444443,0.77,No Rain,23
3.800000000000002,0.82,No Rain,0
2.688888888888891,0.85,Rain,1
5.0666666666666655,0.81,No Rain,2
2.6,0.85,No Rain,3
1.583333333333334,0.92,No Rain,4
2.155555555555557,0.9,No Rain,5
0.9555555555555548,0.92,Rain,6
0.9555555555555548,0.92,No Rain,7
5.594444444444445,0.82,Rain,8
9.822222222222225,0.66,Rain,9
11.072222222222225,0.54,No Rain,10
11.055555555555555,0.48,No Rain,11
12.244444444444444,0.43,Rain,12
12.85,0.41,Rain,13
12.888888888888893,0.38,Rain,14
12.916666666666666,0.4,Rain,15
13.88888888888889,0.46,Rain,16
13.02222222222222,0.48,Rain,17
12.383333333333333,0.49,No Rain,18
10.205555555555556,0.57,No Rain,19
9.144444444444446,0.62,No Rain,20
7.827777777777779,0.68,No Rain,21
7.733333333333334,0.65,No Rain,22
7.144444444444444,0.69,Rain,23
6.016666666666666,0.74,No Rain,0
5.46111111111111,0.76,No Rain,1
8.244444444444447,0.72,Rain,2
3.838888888888887,0.82,Rain,3
2.244444444444444,0.91,Rain,4
2.0222222222222226,0.93,Rain,5
2.1722222222222203,0.92,Rain,6
3.661111111111113,0.89,Rain,7
6.111111111111111,0.79,Rain,8
10.005555555555553,0.66,No Rain,9
12.244444444444444,0.52,Rain,10
12.938888888888888,0.5,Rain,11
13.983333333333334,0.5,Rain,12
15.094444444444449,0.44,Rain,13
16.25,0.43,Rain,14
17.266666666666666,0.41,Rain,15
17.288888888888888,0.38,No Rain,16
17.38888888888889,0.37,Rain,17
17.288888888888888,0.38,No Rain,18
15.088888888888889,0.44,Rain,19
11.71111111111111,0.58,No Rain,20
11.161111111111111,0.61,No Rain,21
10.027777777777777,0.68,Rain,22
10.13888888888889,0.65,No Rain,23
21.016666666666666,0.87,Rain,0
19.444444444444443,0.9,No Rain,1
20.72222222222222,0.81,Rain,2
18.79444444444444,0.93,Rain,3
17.733333333333334,0.93,No Rain,4
17.605555555555554,0.95,No Rain,5
18.73333333333333,0.93,No Rain,6
22.55555555555556,0.8,Rain,7
24.761111111111106,0.7,Rain,8
27.17222222222222,0.56,Rain,9
28.911111111111115,0.55,No Rain,10
30.95555555555556,0.42,Rain,11
32.17222222222222,0.38,Rain,12
32.12777777777777,0.32,No Rain,13
31.98333333333333,0.35,Rain,14
32.538888888888884,0.38,Rain,15
31.97777777777777,0.4,No Rain,16
32.01111111111111,0.41,No Rain,17
30.944444444444443,0.39,Rain,18
28.572222222222223,0.5,Rain,19
27.09444444444444,0.59,Rain,20
24.694444444444443,0.65,Rain,21
24.13888888888889,0.7,No Rain,22
23.122222222222224,0.77,Rain,23
15.56111111111111,0.92,No Rain,0
15.494444444444444,0.87,No Rain,1
16.53888888888889,0.91,Rain,2
13.800000000000002,0.9,No Rain,3
13.316666666666666,0.9,No Rain,4
12.605555555555554,0.92,No Rain,5
12.327777777777776,0.93,No Rain,6
14.966666666666663,0.87,Rain,7
16.261111111111113,0.87,No Rain,8
16.25,0.92,Rain,9
18.88888888888889,0.89,Rain,10
21.350000000000005,0.76,No Rain,11
21.20555555555556,0.76,No Rain,12
22.338888888888885,0.72,No Rain,13
23.033333333333328,0.66,Rain,14
23.911111111111115,0.62,Rain,15
24.97777777777777,0.51,Rain,16
23.8,0.58,No Rain,17
23.594444444444445,0.53,No Rain,18
22.50555555555556,0.68,No Rain,19
